id,onet_code,job_title,sector,12th_stream,primary_riasec,secondary_riasec,core_skills,cached_at
1,13-2011.00,Accountants and Auditors,Finance,Commerce,C,E,"Reading Comprehension, Active Listening, Critical Thinking, Speaking, Judgment and Decision Making, Writing",2026-03-22 08:07:23.79663+00
2,27-2011.00,Actors,Creative Arts,Arts,A,S,"Reading Comprehension, Speaking, Active Listening, Social Perceptiveness, Critical Thinking, Monitoring",2026-03-22 08:07:24.408264+00
3,15-2011.00,Actuaries,Technology,Science,C,I,"Critical Thinking, Judgment and Decision Making, Mathematics, Reading Comprehension, Active Listening, Complex Problem Solving",2026-03-22 08:07:25.001711+00
4,29-1291.00,Acupuncturists,Healthcare,Science,S,I,"Active Listening, Critical Thinking, Service Orientation, Social Perceptiveness, Speaking, Judgment and Decision Making",2026-03-22 08:07:25.594895+00
5,29-1141.01,Acute Care Nurses,Healthcare,Science,S,I,"Critical Thinking, Reading Comprehension, Service Orientation, Speaking, Active Learning, Active Listening",2026-03-22 08:07:26.182988+00
6,25-2059.01,Adapted Physical Education Specialists,Education,Arts,S,C,"Instructing, Active Learning, Active Listening, Social Perceptiveness, Speaking, Critical Thinking",2026-03-22 08:07:26.789779+00
7,51-9191.00,Adhesive Bonding Machine Operators and Tenders,Manufacturing,Vocational,R,C,"Operation and Control, Operations Monitoring, Active Listening, Monitoring, Quality Control Analysis, Speaking",2026-03-22 08:07:27.389274+00
8,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",Legal Services,Commerce,C,E,"Active Listening, Critical Thinking, Reading Comprehension, Judgment and Decision Making, Writing, Speaking",2026-03-22 08:07:27.986002+00
9,11-3012.00,Administrative Services Managers,Management,Commerce,E,C,"Active Listening, Reading Comprehension, Time Management, Speaking, Coordination, Critical Thinking",2026-03-22 08:07:28.584501+00
10,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",Education,Arts,S,A,"Instructing, Active Listening, Learning Strategies, Reading Comprehension, Speaking, Monitoring",2026-03-22 08:07:29.189927+00
11,29-1141.02,Advanced Practice Psychiatric Nurses,Healthcare,Science,S,I,"Active Listening, Social Perceptiveness, Speaking, Critical Thinking, Judgment and Decision Making, Monitoring",2026-03-22 08:07:29.796355+00
12,11-2011.00,Advertising and Promotions Managers,Management,Commerce,E,C,"Active Listening, Critical Thinking, Social Perceptiveness, Speaking, Judgment and Decision Making, Reading Comprehension",2026-03-22 08:07:30.395691+00
13,41-3011.00,Advertising Sales Agents,Sales,Commerce,E,C,"Speaking, Persuasion, Service Orientation, Social Perceptiveness, Active Listening, Negotiation",2026-03-22 08:07:30.994631+00
14,17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,Engineering,Science,R,C,"Critical Thinking, Operations Monitoring, Quality Control Analysis, Reading Comprehension, Active Listening, Speaking",2026-03-22 08:07:31.606773+00
15,17-2011.00,Aerospace Engineers,Engineering,Science,I,R,"Critical Thinking, Reading Comprehension, Science, Active Listening, Complex Problem Solving, Mathematics",2026-03-22 08:07:32.20369+00
16,13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",Finance,Commerce,E,S,"Active Listening, Negotiation, Persuasion, Reading Comprehension, Speaking, Social Perceptiveness",2026-03-22 08:07:32.802128+00
17,17-2021.00,Agricultural Engineers,Engineering,Science,R,I,"Active Listening, Reading Comprehension, Speaking, Writing, Complex Problem Solving, Critical Thinking",2026-03-22 08:07:33.410906+00
18,45-2091.00,Agricultural Equipment Operators,Agriculture,Science,R,C,"Operation and Control, Operations Monitoring, Troubleshooting, Active Listening, Equipment Maintenance, Quality Control Analysis",2026-03-22 08:07:34.012832+00
19,45-2011.00,Agricultural Inspectors,Agriculture,Science,R,C,"Quality Control Analysis, Active Listening, Monitoring, Reading Comprehension, Critical Thinking, Speaking",2026-03-22 08:07:34.604699+00
20,25-1041.00,"Agricultural Sciences Teachers, Postsecondary",Education,Arts,S,I,"Instructing, Learning Strategies, Reading Comprehension, Speaking, Active Learning, Active Listening",2026-03-22 08:07:35.195581+00
21,19-4012.00,Agricultural Technicians,Research & Science,Science,R,I,"Reading Comprehension, Active Listening, Critical Thinking, Active Learning, Judgment and Decision Making, Monitoring",2026-03-22 08:07:35.791273+00
22,45-2099.00,"Agricultural Workers, All Other",Agriculture,Science,R,I,,2026-03-22 08:07:36.386442+00
23,55-3011.00,Air Crew Members,Military,Vocational,R,I,,2026-03-22 08:07:36.971296+00
24,55-1011.00,Air Crew Officers,Military,Vocational,R,I,,2026-03-22 08:07:37.561497+00
25,53-2021.00,Air Traffic Controllers,Logistics & Transport,Vocational,C,R,"Active Listening, Speaking, Critical Thinking, Judgment and Decision Making, Complex Problem Solving, Monitoring",2026-03-22 08:07:38.157915+00
26,53-1041.00,Aircraft Cargo Handling Supervisors,Logistics & Transport,Vocational,E,C,"Critical Thinking, Management of Personnel Resources, Active Listening, Monitoring, Speaking, Time Management",2026-03-22 08:07:38.759663+00
27,55-1012.00,Aircraft Launch and Recovery Officers,Military,Vocational,R,I,,2026-03-22 08:07:39.359056+00
28,55-3012.00,Aircraft Launch and Recovery Specialists,Military,Vocational,R,I,,2026-03-22 08:07:39.950109+00
29,49-3011.00,Aircraft Mechanics and Service Technicians,Maintenance & Repair,Vocational,R,C,"Equipment Maintenance, Repairing, Troubleshooting, Operations Monitoring, Reading Comprehension, Critical Thinking",2026-03-22 08:07:40.549099+00
30,53-6032.00,Aircraft Service Attendants,Logistics & Transport,Vocational,R,C,,2026-03-22 08:07:41.143227+00
31,51-2011.00,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",Manufacturing,Vocational,R,C,"Quality Control Analysis, Active Listening, Critical Thinking, Monitoring, Complex Problem Solving, Equipment Maintenance",2026-03-22 08:07:41.745069+00
32,53-2022.00,Airfield Operations Specialists,Logistics & Transport,Vocational,C,R,"Active Listening, Monitoring, Coordination, Critical Thinking, Reading Comprehension, Speaking",2026-03-22 08:07:42.342144+00
33,53-2011.00,"Airline Pilots, Copilots, and Flight Engineers",Logistics & Transport,Vocational,R,C,"Operation and Control, Operations Monitoring, Active Listening, Critical Thinking, Monitoring, Judgment and Decision Making",2026-03-22 08:07:42.927822+00
34,29-1229.01,Allergists and Immunologists,Healthcare,Science,I,S,"Reading Comprehension, Active Listening, Critical Thinking, Judgment and Decision Making, Writing, Active Learning",2026-03-22 08:07:43.524502+00
35,53-3011.00,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",Logistics & Transport,Vocational,R,S,"Critical Thinking, Service Orientation, Active Listening, Active Learning, Reading Comprehension, Social Perceptiveness",2026-03-22 08:07:44.125512+00
36,39-3091.00,Amusement and Recreation Attendants,Personal Services,Vocational,C,S,"Speaking, Service Orientation, Active Listening, Social Perceptiveness",2026-03-22 08:07:44.734278+00
37,29-1071.01,Anesthesiologist Assistants,Healthcare,Science,C,S,"Active Listening, Monitoring, Reading Comprehension, Critical Thinking, Judgment and Decision Making, Speaking",2026-03-22 08:07:45.326194+00
38,29-1211.00,Anesthesiologists,Healthcare,Science,I,S,"Critical Thinking, Active Listening, Judgment and Decision Making, Monitoring, Complex Problem Solving, Reading Comprehension",2026-03-22 08:07:45.920906+00
39,45-2021.00,Animal Breeders,Agriculture,Science,R,C,"Critical Thinking, Active Learning, Active Listening, Complex Problem Solving, Judgment and Decision Making, Monitoring",2026-03-22 08:07:46.513731+00
